question_id,question_id_no0,grade,subject
1,1,2,social science
2,2,8,natural science
3,3,7,natural science
4,4,11,language science
5,5,8,natural science
6,6,8,language science
7,7,3,natural science
8,8,12,language science
9,9,2,language science
10,10,4,natural science
11,11,5,social science
12,12,11,language science
13,13,7,natural science
14,14,3,language science
15,15,7,language science
16,16,4,natural science
17,17,8,natural science
18,18,7,natural science
19,19,8,natural science
20,20,4,natural science
21,21,6,natural science
22,22,8,language science
23,23,5,natural science
24,24,8,natural science
25,25,3,natural science
26,26,2,natural science
27,27,11,language science
28,28,5,natural science
29,29,4,natural science
30,30,5,natural science
31,31,4,natural science
32,32,11,language science
33,33,4,natural science
34,34,3,natural science
35,35,3,social science
36,36,8,natural science
37,37,3,natural science
38,38,8,natural science
39,39,2,natural science
40,40,8,natural science
41,41,9,language science
42,42,8,natural science
43,43,4,natural science
44,44,3,natural science
45,45,4,social science
46,46,4,natural science
47,47,4,social science
48,48,5,social science
49,49,3,natural science
50,50,10,language science
51,51,8,natural science
52,52,3,natural science
53,53,7,natural science
54,54,7,natural science
55,55,5,natural science
56,56,8,social science
57,57,4,natural science
58,58,5,natural science
59,59,8,natural science
60,60,5,natural science
61,61,8,natural science
62,62,4,social science
63,63,3,natural science
64,64,3,natural science
65,65,4,language science
66,66,7,language science
67,67,7,language science
68,68,6,natural science
69,69,8,natural science
70,70,7,natural science
71,71,5,natural science
72,72,2,social science
73,73,2,language science
74,74,6,natural science
75,75,2,natural science
76,76,4,natural science
77,77,4,natural science
78,78,6,natural science
79,79,4,natural science
80,80,2,language science
81,81,8,natural science
82,82,3,natural science
83,83,3,language science
84,84,12,language science
85,85,5,natural science
86,86,4,natural science
87,87,3,natural science
88,88,6,natural science
89,89,6,natural science
90,90,8,social science
91,91,7,language science
92,92,3,social science
93,93,4,natural science
94,94,3,language science
95,95,3,social science
96,96,6,language science
97,97,6,natural science
98,98,5,natural science
99,99,5,natural science
100,100,3,natural science
101,101,2,natural science
102,102,3,natural science
103,103,5,language science
104,104,8,natural science
105,105,5,natural science
106,106,4,natural science
107,107,7,natural science
108,108,8,language science
109,109,4,language science
110,110,8,natural science
111,111,6,social science
112,112,3,natural science
113,113,3,natural science
114,114,5,language science
115,115,7,natural science
116,116,6,natural science
117,117,4,language science
118,118,7,natural science
119,119,4,social science
120,120,3,social science
121,121,5,social science
122,122,4,language science
123,123,11,language science
124,124,8,natural science
125,125,8,natural science
126,126,4,language science
127,127,2,natural science
128,128,3,natural science
129,129,8,natural science
130,130,6,social science
131,131,12,language science
132,132,7,natural science
133,133,2,natural science
134,134,2,language science
135,135,8,natural science
136,136,7,natural science
137,137,8,natural science
138,138,5,natural science
139,139,6,language science
140,140,5,social science
141,141,2,language science
142,142,7,language science
143,143,3,natural science
144,144,7,natural science
145,145,6,natural science
146,146,10,language science
147,147,4,natural science
148,148,6,natural science
149,149,5,natural science
150,150,8,language science
151,151,2,natural science
152,152,2,social science
153,153,8,language science
154,154,2,natural science
155,155,9,language science
156,156,8,natural science
157,157,7,language science
158,158,2,natural science
159,159,8,language science
160,160,6,natural science
161,161,3,natural science
162,162,7,social science
163,163,2,language science
164,164,6,natural science
165,165,4,natural science
166,166,8,social science
167,167,3,natural science
168,168,6,language science
169,169,5,language science
170,170,3,natural science
171,171,6,natural science
172,172,7,natural science
173,173,8,language science
174,174,3,language science
175,175,7,natural science
176,176,2,language science
177,177,6,natural science
178,178,6,language science
179,179,7,natural science
180,180,6,natural science
181,181,8,language science
182,182,4,social science
183,183,8,natural science
184,184,2,natural science
185,185,4,social science
186,186,4,language science
187,187,4,social science
188,188,6,natural science
189,189,4,language science
190,190,8,natural science
191,191,7,natural science
192,192,7,natural science
193,193,7,natural science
194,194,5,natural science
195,195,3,natural science
196,196,3,natural science
197,197,5,natural science
198,198,4,natural science
199,199,7,language science
200,200,2,natural science
201,201,3,natural science
202,202,8,natural science
203,203,2,social science
204,204,6,social science
205,205,7,language science
206,206,6,natural science
207,207,8,language science
208,208,6,natural science
209,209,8,natural science
210,210,7,natural science
211,211,3,social science
212,212,4,natural science
213,213,2,language science
214,214,4,natural science
215,215,4,natural science
216,216,5,social science
217,217,7,natural science
218,218,6,language science
219,219,5,natural science
220,220,4,social science
221,221,3,language science
222,222,8,natural science
223,223,4,natural science
224,224,5,language science
225,225,3,natural science
226,226,3,social science
227,227,3,natural science
228,228,7,language science
229,229,2,social science
230,230,9,language science
231,231,10,language science
232,232,12,language science
233,233,5,social science
234,234,8,natural science
