Task;Day;Owner;Category;Status;Estimated Time (h);Deliverable;Notes
Read ScienceQA paper (task-focused);Day 1;Both;Analysis;Not started;1;Shared understanding of task;
Agree on subset size & experiments;Day 1;Both;Planning;Not started;0.5;Fixed experimental scope;
Clone repo on cluster;Day 1;Person A;Setup;Not started;1;Repo available on cluster;
Set up environment (conda/venv);Day 1;Person A;Setup;Not started;1;Working Python environment;
Verify GPU access;Day 1;Person A;Setup;Not started;0.5;GPU confirmed;
Run LLaVA inference on 1 sample;Day 1;Person A;Setup;Not started;1;Successful forward pass;
Inspect ScienceQA data format;Day 1;Person B;Dataset;Not started;1;Notes on fields & structure;
Draft CoT and No-CoT prompts;Day 1;Person B;Dataset;Not started;1;Prompt templates;
Filter ScienceQA (image + solution only);Day 2;Person B;Dataset;Not started;1.5;Filtered dataset;
Create train/val/test splits;Day 2;Person B;Dataset;Not started;1;Deterministic splits;
Compute dataset statistics;Day 2;Person B;Dataset;Not started;1;Stats table;
Implement option subsampling (2/3/4);Day 2;Person B;Dataset;Not started;1;Subsampling script;
Integrate dataset loader into training;Day 2;Person A;Training;Not started;2;Dataset loads in model;
Dry-run training loop;Day 2;Person A;Training;Not started;1;No crashes;
Implement answer extraction logic;Day 3;Person B;Evaluation;Not started;1.5;Robust parser;
Implement accuracy metrics (all buckets);Day 3;Person B;Evaluation;Not started;1.5;Metric script;
Save predictions & metrics (JSON);Day 3;Person B;Evaluation;Not started;1;Reproducible outputs;
Run base model evaluation;Day 3;Person A;Evaluation;Not started;2;Baseline accuracy;
Measure inference speed;Day 3;Person A;Evaluation;Not started;1;Runtime stats;
Small LoRA fine-tune (sanity run);Day 4;Person A;Training;Not started;2.5;Sanity checkpoint;
Evaluate sanity checkpoint;Day 4;Person A;Evaluation;Not started;1;Sanity metrics;
Start report (Intro + Dataset);Day 4;Person B;Writing;Not started;2;Draft sections;
Full LoRA fine-tune (baseline);Day 5;Person A;Training;Not started;4;Final model;
Log training time & resources;Day 5;Person A;Training;Not started;0.5;Runtime notes;
Prepare evaluation sets (2/3/4 options);Day 5;Person B;Dataset;Not started;2;Final test sets;
Evaluate model on 2-option set;Day 6;Person A;Evaluation;Not started;1.5;Predictions;
Evaluate model on 3-option set;Day 6;Person A;Evaluation;Not started;1.5;Predictions;
Evaluate model on 4-option set;Day 6;Person A;Evaluation;Not started;1.5;Predictions;
Compute accuracy tables;Day 6;Person B;Analysis;Not started;2;Result tables;
Plot accuracy vs number of options;Day 6;Person B;Analysis;Not started;1.5;Figures;
Evaluate No-CoT decoding;Day 7;Person A;Evaluation;Not started;2;Predictions;
Evaluate CoT decoding;Day 7;Person A;Evaluation;Not started;2;Predictions;
Compare CoT vs No-CoT accuracy;Day 7;Person B;Analysis;Not started;2;Comparison table;
Qualitative error analysis;Day 7;Person B;Analysis;Not started;1.5;Example cases;
Write Results & Discussion;Day 7;Person B;Writing;Not started;2;Draft sections;
Optional extension (DoRA or ablation);Day 8;Person A;Training;Not started;3;Extra results;
Finalize plots & tables;Day 8;Person B;Writing;Not started;2;Camera-ready figures;
Prepare presentation slides;Day 8;Both;Presentation;Not started;1.5;Slide deck;
Final report proofreading;Day 9;Both;Writing;Not started;2;Final PDF;
Reproducibility check;Day 9;Person A;Setup;Not started;1;Clean run;
Record 5-min presentation;Day 9;Both;Presentation;Not started;1;Video file;
Submission;Day 9;Both;Admin;Not started;0.5;Submitted;
